date,stock,action
12/22/2009,AAPL,buy
12/23/2009,AAPL,sell
2/11/2010,GOOGL,buy
2/12/2010,AMZN,buy
2/16/2010,AAPL,buy
2/17/2010,AAPL,sell
2/25/2010,GOOGL,sell
3/25/2010,AMZN,sell
5/28/2010,GME,buy
6/2/2010,AMZN,buy
6/4/2010,AMZN,sell
6/7/2010,GME,sell
6/11/2010,AMZN,buy
6/29/2010,AMZN,sell
7/23/2010,AAPL,buy
7/26/2010,AAPL,sell
9/2/2010,AAPL,buy
9/3/2010,AAPL,sell
12/10/2010,GOOGL,buy
1/27/2011,GME,buy
1/28/2011,GME,sell
2/8/2011,AMZN,buy
3/8/2011,AMZN,sell
3/24/2011,AMZN,buy
3/28/2011,AAPL,buy
4/11/2011,AAPL,sell
4/15/2011,GOOGL,sell
4/20/2011,AAPL,buy
4/21/2011,AAPL,sell
5/2/2011,AMZN,sell
5/31/2011,AAPL,buy
6/1/2011,AAPL,sell
6/21/2011,AMZN,buy
6/24/2011,AAPL,buy
7/18/2011,AAPL,sell
8/19/2011,AMZN,sell
8/26/2011,AMZN,buy
12/1/2011,AAPL,buy
12/2/2011,AAPL,sell
12/20/2011,AAPL,buy
12/21/2011,AMZN,sell
12/21/2011,AAPL,sell
2/6/2012,GOOGL,buy
5/23/2012,AAPL,buy
5/24/2012,AAPL,sell
6/13/2012,GOOGL,sell
11/19/2012,AMZN,buy
11/20/2012,GOOGL,buy
12/18/2012,AMZN,sell
1/24/2013,GME,buy
1/25/2013,GME,sell
1/31/2013,GOOGL,sell
4/2/2013,AMZN,buy
4/3/2013,AMZN,sell
4/10/2013,AMZN,buy
4/22/2013,GOOGL,buy
4/29/2013,AMZN,sell
5/10/2013,AMZN,buy
5/15/2013,GOOGL,sell
7/17/2013,AMZN,sell
9/4/2013,GOOGL,buy
9/4/2013,AMZN,buy
10/18/2013,GOOGL,sell
10/22/2013,AMZN,sell
12/16/2013,GME,buy
12/17/2013,GME,sell
2/10/2014,AAPL,buy
2/11/2014,AAPL,sell
2/25/2014,AMZN,buy
3/3/2014,AAPL,buy
3/4/2014,AAPL,sell
3/27/2014,AMZN,sell
4/16/2014,GOOGL,buy
4/22/2014,AAPL,buy
4/23/2014,AAPL,sell
4/25/2014,GOOGL,sell
5/1/2014,GOOGL,buy
5/1/2014,AMC,buy
5/2/2014,AMC,sell
5/21/2014,AMC,buy
5/22/2014,AMC,sell
8/1/2014,AMC,buy
8/4/2014,AMC,sell
8/14/2014,AMZN,buy
8/25/2014,GME,buy
9/9/2014,AMZN,sell
10/6/2014,GME,sell
10/20/2014,GME,buy
10/21/2014,AAPL,buy
10/21/2014,AMC,buy
10/21/2014,GME,sell
10/22/2014,AAPL,sell
10/22/2014,AMC,sell
12/16/2014,GOOGL,sell
1/22/2015,AAPL,buy
1/23/2015,AAPL,sell
4/23/2015,GOOGL,buy
5/19/2015,AMC,buy
6/2/2015,AMC,sell
6/29/2015,GOOGL,sell
7/15/2015,AAPL,buy
7/16/2015,AAPL,sell
8/19/2015,AMC,buy
8/20/2015,AMC,sell
9/14/2015,GME,buy
9/15/2015,GME,sell
10/2/2015,GME,buy
10/5/2015,GOOGL,buy
10/5/2015,GME,sell
1/28/2016,AMZN,buy
2/3/2016,AMZN,sell
6/30/2016,AMC,buy
7/1/2016,AMC,sell
11/21/2016,AMZN,buy
11/21/2016,AAPL,buy
11/30/2016,AAPL,sell
2/27/2017,AMC,buy
2/28/2017,AMC,sell
3/15/2017,GOOGL,sell
4/18/2017,GOOGL,buy
4/21/2017,AMC,buy
5/5/2017,AMC,sell
5/12/2017,AMZN,sell
5/16/2017,GOOGL,sell
7/10/2017,AAPL,buy
7/11/2017,AAPL,sell
7/12/2017,GOOGL,buy
8/31/2017,AMZN,buy
10/6/2017,AAPL,buy
10/27/2017,AMZN,sell
11/7/2017,AAPL,sell
1/5/2018,GOOGL,sell
2/14/2018,AAPL,buy
2/21/2018,GOOGL,buy
4/17/2018,AMZN,buy
6/6/2018,AAPL,sell
8/8/2018,AMZN,sell
10/17/2018,GME,buy
10/18/2018,GME,sell
11/1/2018,GME,buy
11/7/2018,AMZN,buy
11/12/2018,GME,sell
12/20/2018,AMZN,sell
12/21/2018,GOOGL,sell
6/6/2019,AAPL,buy
6/10/2019,AMZN,buy
8/21/2019,AAPL,sell
11/13/2019,AMZN,sell
11/26/2019,AMZN,buy
1/31/2020,AMZN,sell
3/23/2020,AMZN,buy
6/9/2020,AMZN,sell
9/29/2020,AMZN,buy
10/1/2020,AAPL,buy
10/2/2020,GOOGL,buy
11/3/2020,GOOGL,sell
2/25/2021,GME,buy
3/4/2021,AMZN,sell
3/12/2021,AMZN,buy
6/8/2021,GME,sell
6/17/2021,AMZN,sell
7/14/2021,AAPL,sell
7/26/2021,GME,buy
7/28/2021,GME,sell
8/10/2021,GME,buy
8/13/2021,AMC,buy
8/24/2021,GME,sell
8/24/2021,AMC,sell
8/25/2021,AMZN,buy
10/11/2021,GOOGL,buy
10/14/2021,AAPL,buy
10/14/2021,GME,buy
10/14/2021,AMC,buy
10/22/2021,GME,sell
10/28/2021,GME,buy
11/18/2021,AAPL,sell
11/19/2021,GME,sell
12/1/2021,AMC,sell
