date,stock,numberOfShares,action
2009-12-10,CINF,181.0,buy
2009-12-10,CMI,85.0,buy
2009-12-10,MLM,40.0,buy
2009-12-11,ALL,136.0,buy
2009-12-11,ECL,76.0,buy
2009-12-11,GS,21.0,buy
2009-12-11,UHS,108.0,buy
2009-12-11,WU,230.0,buy
2009-12-11,CINF,181.0,sell
2009-12-11,CMI,85.0,sell
2009-12-11,MLM,40.0,sell
2009-12-14,APA,36.0,buy
2009-12-14,AJG,194.0,buy
2009-12-14,ADSK,122.0,buy
2009-12-14,CERN,159.0,buy
2009-12-14,CTXS,101.0,buy
2009-12-14,CTRA,333.0,buy
2009-12-14,DRE,420.0,buy
2009-12-14,EOG,77.0,buy
2009-12-14,FISV,252.0,buy
2009-12-14,MDLZ,221.0,buy
2009-12-14,ROST,299.0,buy
2009-12-14,SIVB,79.0,buy
2009-12-14,TGT,85.0,buy
2009-12-14,UAA,898.0,buy
2009-12-14,VFC,228.0,buy
2009-12-14,WAB,156.0,buy
2009-12-14,ALL,136.0,sell
2009-12-14,UHS,108.0,sell
2009-12-14,WU,230.0,sell
2009-12-15,BKR,132.0,buy
2009-12-15,RE,45.0,buy
2009-12-15,GPS,186.0,buy
2009-12-15,JKHY,152.0,buy
2009-12-15,MMC,179.0,buy
2009-12-15,APA,36.0,sell
2009-12-15,AJG,194.0,sell
2009-12-15,CTXS,101.0,sell
2009-12-15,CTRA,333.0,sell
2009-12-15,DRE,420.0,sell
2009-12-15,EOG,77.0,sell
2009-12-15,MDLZ,221.0,sell
2009-12-15,ROST,299.0,sell
2009-12-15,TGT,85.0,sell
2009-12-15,VFC,228.0,sell
2009-12-15,WAB,156.0,sell
2009-12-16,DVN,56.0,buy
2009-12-16,HAL,121.0,buy
2009-12-16,IVZ,205.0,buy
2009-12-16,JPM,98.0,buy
2009-12-16,LEN,259.0,buy
2009-12-16,LNC,162.0,buy
2009-12-16,NVR,4.0,buy
2009-12-16,SLB,63.0,buy
2009-12-16,VMC,68.0,buy
2009-12-16,BKR,132.0,sell
2009-12-16,RE,45.0,sell
2009-12-17,DVN,56.0,sell
2009-12-17,HAL,121.0,sell
2009-12-17,IVZ,205.0,sell
2009-12-17,JPM,98.0,sell
2009-12-17,LEN,259.0,sell
2009-12-17,LNC,162.0,sell
2009-12-17,SLB,63.0,sell
2009-12-17,VMC,68.0,sell
2009-12-18,DLTR,184.0,buy
2009-12-18,KIM,408.0,buy
2009-12-18,MTCH,608.0,buy
2009-12-18,OXY,58.0,buy
2009-12-18,RJF,224.0,buy
2009-12-18,SNPS,139.0,buy
2009-12-18,WFC,153.0,buy
2009-12-21,HES,60.0,buy
2009-12-21,IVZ,204.0,buy
2009-12-21,JPM,96.0,buy
2009-12-21,KIM,408.0,sell
2009-12-21,MTCH,608.0,sell
2009-12-21,OXY,58.0,sell
2009-12-21,RJF,224.0,sell
2009-12-21,WFC,153.0,sell
2009-12-22,ABMD,351.0,buy
2009-12-22,AAPL,489.0,buy
2009-12-22,HOLX,204.0,buy
2009-12-22,MRO,201.0,buy
2009-12-22,PCAR,122.0,buy
2009-12-22,PVH,75.0,buy
2009-12-22,YUM,150.0,buy
2009-12-22,HES,60.0,sell
2009-12-22,IVZ,204.0,sell
2009-12-22,JPM,96.0,sell
2009-12-22,SIVB,79.0,sell
2009-12-23,ADM,132.0,buy
2009-12-23,COST,67.0,buy
2009-12-23,EBAY,311.0,buy
2009-12-23,IT,164.0,buy
2009-12-23,AAPL,489.0,sell
2009-12-23,CERN,159.0,sell
2009-12-23,MRO,201.0,sell
2009-12-23,PCAR,122.0,sell
2009-12-23,YUM,150.0,sell
2009-12-24,BEN,126.0,buy
2009-12-24,FCX,96.0,buy
2009-12-24,ORLY,78.0,buy
2009-12-24,TYL,151.0,buy
2009-12-24,ADM,132.0,sell
2009-12-24,COST,67.0,sell
2009-12-24,GPS,186.0,sell
2009-12-28,AIZ,129.0,buy
2009-12-28,BAC,230.0,buy
2009-12-28,COP,116.0,buy
2009-12-28,STZ,205.0,buy
2009-12-28,NFLX,368.0,buy
2009-12-28,PPG,125.0,buy
2009-12-28,HIG,161.0,buy
2009-12-28,TSN,284.0,buy
2009-12-28,BEN,126.0,sell
2009-12-28,FCX,96.0,sell
2009-12-29,APD,53.0,buy
2009-12-29,TRV,81.0,buy
2009-12-29,WRB,235.0,buy
2009-12-29,AIZ,129.0,sell
2009-12-29,BAC,230.0,sell
2009-12-29,COP,116.0,sell
2009-12-29,STZ,205.0,sell
2009-12-29,PPG,125.0,sell
2009-12-29,HIG,161.0,sell
2009-12-29,TSN,284.0,sell
2009-12-30,GPS,193.0,buy
2009-12-30,STE,126.0,buy
2009-12-30,USB,180.0,buy
2009-12-30,APD,53.0,sell
2009-12-30,TRV,81.0,sell
2009-12-30,WRB,235.0,sell
2009-12-31,GPS,193.0,sell
2009-12-31,USB,180.0,sell
2010-01-04,BAC,224.0,buy
2010-01-04,DG,140.0,buy
