stock,date,tradeNumber,price,stopLoss,profitTarget,action
APTV,2021-04-23 00:00:00,1.0,144.88999938964844,137.49000549316406,163.38998413085938,buy
BKR,2021-04-23 00:00:00,1.0,19.425249099731445,19.530000686645508,19.16337013244629,buy
DISCA,2021-04-23 00:00:00,1.0,38.400001525878906,37.56999969482422,40.475006103515625,buy
CMCSA,2021-04-26 00:00:00,1.0,53.28335952758789,50.619191551208495,59.94377946853638,buy
DISCK,2021-04-26 00:00:00,1.0,32.9900016784668,31.90999984741211,35.690006256103516,buy
LUMN,2021-04-26 00:00:00,1.0,12.04737377166748,12.84000015258789,10.065807819366455,buy
OXY,2021-04-26 00:00:00,1.0,24.814167022705078,23.770000457763672,27.424583435058594,buy
BKR,2021-04-26 00:00:00,1.0,19.551450729370117,19.530000686645508,19.16337013244629,sell
LUMN,2021-04-27 00:00:00,1.0,11.945902824401855,12.84000015258789,10.065807819366455,sell
COP,2021-04-28 00:00:00,1.0,51.3629264831543,49.15999984741211,56.870243072509766,buy
CVX,2021-04-28 00:00:00,1.0,100.3394546508789,100.72000122070312,99.38808822631836,buy
F,2021-04-28 00:00:00,1.0,12.304464340209961,11.689241123199462,13.842522382736208,buy
LYV,2021-04-28 00:00:00,1.0,82.41999816894531,82.05999755859375,83.31999969482422,buy
PSX,2021-04-28 00:00:00,1.0,76.53016662597656,74.91999816894531,80.55558776855469,buy
PXD,2021-04-28 00:00:00,1.0,148.9425048828125,144.3699951171875,160.373779296875,buy
RCL,2021-04-28 00:00:00,1.0,87.47000122070312,83.90825119018555,95.46436882019043,buy
SLB,2021-04-28 00:00:00,1.0,26.932151794433594,24.56999969482422,32.83753204345703,buy
VLO,2021-04-28 00:00:00,1.0,70.4412612915039,68.12999725341797,76.21942138671875,buy
DISCA,2021-04-28 00:00:00,1.0,37.4900016784668,37.56999969482422,40.475006103515625,sell
LVS,2021-04-29 00:00:00,1.0,61.189998626708984,58.13049869537353,68.83874845504761,buy
WYNN,2021-04-29 00:00:00,1.0,129.02999877929688,122.57849884033203,145.15874862670898,buy
CVX,2021-04-29 00:00:00,1.0,101.9415283203125,100.72000122070312,99.38808822631836,sell
F,2021-04-29 00:00:00,1.0,11.146280288696289,11.689241123199462,13.842522382736208,sell
DIS,2021-04-30 00:00:00,1.0,186.02000427246094,180.53499603271484,197.66751098632812,buy
LYV,2021-04-30 00:00:00,1.0,81.87999725341797,82.05999755859375,83.31999969482422,sell
BIIB,2021-05-03 00:00:00,1.0,275.30999755859375,257.0299987792969,321.00999450683594,buy
HAL,2021-05-03 00:00:00,1.0,20.459514617919922,18.893332799275715,24.44770113627116,buy
LLY,2021-05-03 00:00:00,1.0,183.14459228515625,178.5800018310547,194.55606842041016,buy
DISCK,2021-05-03 00:00:00,1.0,31.3799991607666,31.90999984741211,35.690006256103516,sell
HBAN,2021-05-05 00:00:00,1.0,14.931560516357422,14.300000190734863,16.51046133041382,buy
PSX,2021-05-05 00:00:00,1.0,81.20223999023438,74.91999816894531,80.55558776855469,sell
RCL,2021-05-05 00:00:00,1.0,83.0,83.90825119018555,95.46436882019043,sell
CMI,2021-05-06 00:00:00,1.0,259.5625915527344,249.90499877929688,278.9244079589844,buy
CPB,2021-05-06 00:00:00,1.0,48.1744499206543,47.439998626708984,50.01057815551758,buy
