stock,date,tradeNumber,price,stopLoss,profitTarget,action
NDAQ,2011-12-29,1.0,20.928525924682617,24.25,12.62484073638916,buy
NSC,2011-12-29,1.0,57.826786041259766,71.52999877929688,23.568754196166992,buy
RL,2011-12-29,1.0,117.23650360107422,111.3746784210205,131.8910665512085,buy
STX,2011-12-30,1.0,10.03686237335205,15.479999542236328,-3.5709805488586426,buy
NDAQ,2011-12-30,1.0,20.826562881469727,24.25,12.62484073638916,sell
NSC,2011-12-30,1.0,57.834720611572266,71.52999877929688,23.568754196166992,sell
CAT,2012-01-03,1.0,70.97420501708984,89.16999816894531,25.484722137451172,buy
MCK,2012-01-03,1.0,73.16876220703125,77.19000244140625,63.11566162109375,buy
PH,2012-01-03,1.0,65.63179779052734,75.9000015258789,39.96128845214844,buy
STX,2012-01-03,1.0,10.05522346496582,15.479999542236328,-3.5709805488586426,sell
CTRA,2012-01-04,1.0,18.150405883789062,18.899999618530273,16.276421546936035,buy
NEM,2012-01-04,1.0,50.62175369262695,48.0906660079956,56.94947290420534,buy
TYL,2012-01-04,1.0,30.360000610351562,30.100000381469727,31.010001182556152,buy
VFC,2012-01-04,1.0,25.389759063720703,29.88229751586914,14.15841293334961,buy
CAT,2012-01-04,1.0,71.6312026977539,89.16999816894531,25.484722137451172,sell
MCK,2012-01-04,1.0,72.74559020996094,77.19000244140625,63.11566162109375,sell
PH,2012-01-04,1.0,65.3570785522461,75.9000015258789,39.96128845214844,sell
AZO,2012-01-05,1.0,333.8500061035156,313.1099853515625,385.70005798339844,buy
ULTA,2012-01-05,1.0,68.79027557373047,63.439998626708984,82.16596794128418,buy
UAA,2012-01-05,1.0,9.15625,8.887499809265137,9.828125476837158,buy
CTRA,2012-01-05,1.0,18.236400604248047,18.899999618530273,16.276421546936035,sell
TYL,2012-01-05,1.0,31.09000015258789,30.100000381469727,31.010001182556152,sell
VFC,2012-01-05,1.0,25.35787010192871,29.88229751586914,14.15841293334961,sell
SNPS,2012-01-10,1.0,27.469999313354492,26.329999923706055,30.319997787475586,buy
