stock,date,tradeNumber,price,stopLoss,profitTarget,action
GOOGL,2/6/2012,1,304.8498535,290.1776733,344.771019,buy
GOOG,2/6/2012,1,303.4077454,288.8049927,343.1400681,buy
AAPL,5/23/2012,1,17.47065544,18.64928627,14.52407837,buy
AAPL,5/24/2012,1,17.31020355,18.64928627,14.52407837,sell
GOOGL,6/13/2012,1,280.8258362,290.1776733,344.771019,sell
GOOG,6/13/2012,1,279.4973755,288.8049927,343.1400681,sell
AMZN,11/19/2012,1,229.7100067,218.1799927,258.5350418,buy
GOOGL,11/20/2012,2,335.3203125,318.3183289,377.8252716,buy
GOOG,11/20/2012,2,333.7340698,316.8125,376.0379944,buy
AMZN,12/18/2012,1,260.3999939,218.1799927,258.5350418,sell
GOOGL,1/31/2013,2,378.2232361,318.3183289,377.8252716,sell
GOOG,1/31/2013,2,376.434021,316.8125,376.0379944,sell
FB,3/7/2013,1,28.57999992,26.34000015,34.17999935,buy
FB,3/20/2013,1,25.86000061,26.34000015,34.17999935,sell
AMZN,4/2/2013,2,263.3200073,261.0100098,269.0950012,buy
AMZN,4/3/2013,2,259.0299988,261.0100098,269.0950012,sell
AMZN,4/10/2013,3,264.769989,253.6699982,292.5199661,buy
GOOGL,4/22/2013,3,400.4554443,381.0110168,449.0665131,buy
GOOG,4/22/2013,3,398.5610962,379.2086182,446.9422913,buy
AMZN,4/29/2013,3,249.7400055,253.6699982,292.5199661,sell
AMZN,5/10/2013,4,263.6300049,245.75,308.3300171,buy
GOOGL,5/15/2013,3,458.4034119,381.0110168,449.0665131,sell
GOOG,5/15/2013,3,456.2349243,379.2086182,446.9422913,sell
AMZN,7/17/2013,4,308.6900024,245.75,308.3300171,sell
GOOGL,9/4/2013,4,436.2512512,422.5575714,493.6085968,buy
GOOG,9/4/2013,4,434.187561,420.5586395,491.2735825,buy
AMZN,9/4/2013,5,293.6400146,279.3299866,329.4150848,buy
GOOGL,10/18/2013,4,506.2112122,422.5575714,493.6085968,sell
GOOG,10/18/2013,4,503.8165588,420.5586395,491.2735825,sell
