stock,date,action
NDAQ,12/29/2011,buy
NSC,12/29/2011,buy
RL,12/29/2011,buy
STX,12/30/2011,buy
NDAQ,12/30/2011,sell
NSC,12/30/2011,sell
CAT,1/3/2012,buy
MCK,1/3/2012,buy
PH,1/3/2012,buy
STX,1/3/2012,sell
CTRA,1/4/2012,buy
NEM,1/4/2012,buy
TYL,1/4/2012,buy
VFC,1/4/2012,buy
CAT,1/4/2012,sell
MCK,1/4/2012,sell
PH,1/4/2012,sell
AZO,1/5/2012,buy
ULTA,1/5/2012,buy
UAA,1/5/2012,buy
CTRA,1/5/2012,sell
TYL,1/5/2012,sell
VFC,1/5/2012,sell
SNPS,1/10/2012,buy
TSCO,1/11/2012,buy
BBWI,1/12/2012,buy
TSCO,1/12/2012,sell
BBWI,1/13/2012,sell
ANSS,1/18/2012,buy
CDNS,1/18/2012,buy
GPS,1/18/2012,buy
CBOE,1/19/2012,buy
GPS,1/19/2012,sell
ABMD,1/20/2012,buy
IBM,1/20/2012,buy
CBOE,1/20/2012,sell
COST,1/23/2012,buy
IBM,1/23/2012,sell
COST,1/24/2012,sell
NEM,1/24/2012,sell
ATO,1/25/2012,buy
CL,1/26/2012,buy
MA,1/26/2012,buy
ATO,1/26/2012,sell
NEM,1/27/2012,buy
ABMD,1/27/2012,sell
CL,1/27/2012,sell
NEM,1/30/2012,sell
ATVI,1/31/2012,buy
AIZ,1/31/2012,buy
UAA,1/31/2012,sell
ABMD,2/1/2012,buy
ATVI,2/1/2012,sell
AIZ,2/1/2012,sell
CERN,2/2/2012,buy
DPZ,2/2/2012,buy
ICE,2/2/2012,buy
PM,2/3/2012,buy
CDNS,2/3/2012,sell
CERN,2/3/2012,sell
DPZ,2/3/2012,sell
ICE,2/3/2012,sell
RL,2/3/2012,sell
GOOGL,2/6/2012,buy
GOOG,2/6/2012,buy
COP,2/6/2012,buy
TSN,2/6/2012,buy
MA,2/6/2012,sell
PM,2/6/2012,sell
MO,2/7/2012,buy
KO,2/7/2012,buy
ED,2/7/2012,buy
D,2/7/2012,buy
COP,2/7/2012,sell
MO,2/8/2012,sell
KO,2/8/2012,sell
ED,2/8/2012,sell
D,2/8/2012,sell
PG,2/13/2012,buy
VZ,2/13/2012,buy
ABMD,2/13/2012,sell
AEP,2/14/2012,buy
D,2/14/2012,buy
PG,2/14/2012,sell
SNPS,2/14/2012,sell
VZ,2/14/2012,sell
PBCT,2/15/2012,buy
AEP,2/15/2012,sell
D,2/15/2012,sell
ULTA,2/15/2012,sell
BMY,2/16/2012,buy
DPZ,2/16/2012,buy
PBCT,2/16/2012,sell
AEE,2/17/2012,buy
HUM,2/17/2012,buy
KR,2/17/2012,buy
BMY,2/17/2012,sell
DPZ,2/17/2012,sell
HRL,2/21/2012,buy
NEM,2/21/2012,buy
OKE,2/21/2012,buy
AEE,2/21/2012,sell
HUM,2/21/2012,sell
KR,2/21/2012,sell
NEM,2/22/2012,sell
OKE,2/22/2012,sell
ATO,2/23/2012,buy
KMX,2/23/2012,buy
LEG,2/23/2012,buy
HSY,2/23/2012,buy
ED,2/24/2012,buy
LLY,2/24/2012,buy
IRM,2/24/2012,buy
KMB,2/24/2012,buy
XEL,2/24/2012,buy
ATO,2/24/2012,sell
LEG,2/24/2012,sell
HSY,2/24/2012,sell
EL,2/27/2012,buy
KSU,2/27/2012,buy
