"","stock","date","action"
"1","A",2022-03-22,"Buy"
"2","A",2022-03-23,"Sell"
"3","A",2022-03-21,"Buy"
"4","A",2022-03-24,"Sell"
"5","AAL",2022-03-22,"Buy"
"6","AAL",2022-03-24,"Sell"
"7","AAL",2022-03-23,"Buy"
"8","AAL",2022-03-18,"Sell"
"9","AAP",2022-03-22,"Buy"
"10","AAP",2022-03-18,"Sell"
"11","AAP",2022-03-21,"Buy"
"12","AAP",2022-03-23,"Sell"
"13","AAPL",2022-03-22,"Buy"
"14","AAPL",2022-03-24,"Sell"
"15","AAPL",2022-03-21,"Sell"
"16","AAPL",2022-03-18,"Sell"
"17","ABBV",2022-03-23,"Sell"
"18","ABBV",2022-03-24,"Buy"
"19","ABBV",2022-03-22,"Buy"
"20","ABBV",2022-03-18,"Buy"
"21","ABC",2022-03-21,"Buy"
"22","ABC",2022-03-18,"Buy"
"23","ABC",2022-03-24,"Sell"
"24","ABC",2022-03-23,"Sell"
"25","ABMD",2022-03-23,"Sell"
"26","ABMD",2022-03-22,"Buy"
"27","ABMD",2022-03-24,"Sell"
"28","ABMD",2022-03-18,"Buy"
"29","ABT",2022-03-21,"Buy"
"30","ABT",2022-03-23,"Sell"
"31","ABT",2022-03-18,"Sell"
"32","ABT",2022-03-24,"Sell"
"33","ACN",2022-03-21,"Buy"
"34","ACN",2022-03-23,"Sell"
"35","ACN",2022-03-22,"Buy"
"36","ACN",2022-03-18,"Buy"
"37","ADBE",2022-03-21,"Buy"
"38","ADBE",2022-03-23,"Sell"
"39","ADBE",2022-03-22,"Buy"
"40","ADBE",2022-03-18,"Sell"
"41","ADI",2022-03-21,"Buy"
"42","ADI",2022-03-23,"Sell"
"43","ADI",2022-03-22,"Buy"
"44","ADI",2022-03-18,"Buy"
"45","ADM",2022-03-21,"Buy"
"46","ADM",2022-03-23,"Sell"
"47","ADM",2022-03-22,"Buy"
"48","ADM",2022-03-18,"Buy"
"49","ADP",2022-03-24,"Buy"
"50","ADP",2022-03-21,"Buy"
"51","ADP",2022-03-23,"Sell"
"52","ADP",2022-03-18,"Buy"
"53","ADSK",2022-03-24,"Sell"
