stock,date,action
AAL,2022-03-18,Sell
AAP,2022-03-18,Sell
AAPL,2022-03-18,Sell
ABBV,2022-03-18,Buy
ABC,2022-03-18,Buy
ABMD,2022-03-18,Buy
ABT,2022-03-18,Sell
ACN,2022-03-18,Buy
ADBE,2022-03-18,Sell
ADI,2022-03-18,Buy
ADM,2022-03-18,Buy
ADP,2022-03-18,Buy
ADSK,2022-03-18,Sell
AEE,2022-03-18,Buy
AEP,2022-03-18,Buy
AES,2022-03-18,Buy
AFL,2022-03-18,Buy
AIG,2022-03-18,Buy
AIZ,2022-03-18,Buy
AJG,2022-03-18,Buy
AKAM,2022-03-18,Buy
ALB,2022-03-18,Buy
ALGN,2022-03-18,Buy
ALK,2022-03-18,Sell
ALL,2022-03-18,Buy
ALLE,2022-03-18,Buy
AMAT,2022-03-18,Buy
AMCR,2022-03-18,Sell
AMD,2022-03-18,Buy
AME,2022-03-18,Buy
AMGN,2022-03-18,Sell
AMT,2022-03-18,Buy
AMZN,2022-03-18,Buy
ANET,2022-03-18,Buy
ANSS,2022-03-18,Buy
ANTM,2022-03-18,Buy
AON,2022-03-18,Buy
APA,2022-03-18,Sell
APD,2022-03-18,Sell
APH,2022-03-18,Buy
APTV,2022-03-18,Sell
ARE,2022-03-18,Buy
ATVI,2022-03-18,Buy
AVB,2022-03-18,Buy
AVGO,2022-03-18,Buy
AVY,2022-03-18,Buy
AWK,2022-03-18,Buy
AXP,2022-03-18,Buy
AZO,2022-03-18,Buy
BA,2022-03-18,Sell
BAX,2022-03-18,Buy
BBWI,2022-03-18,Sell
BBY,2022-03-18,Buy
BEN,2022-03-18,Sell
BIIB,2022-03-18,Sell
BLL,2022-03-18,Buy
BSX,2022-03-18,Buy
BXP,2022-03-18,Sell
CARR,2022-03-18,Sell
CAT,2022-03-18,Buy
CB,2022-03-18,Buy
CBOE,2022-03-18,Buy
CBRE,2022-03-18,Buy
CDAY,2022-03-18,Sell
CDNS,2022-03-18,Buy
CDW,2022-03-18,Buy
CERN,2022-03-18,Buy
CHD,2022-03-18,Buy
CHRW,2022-03-18,Buy
CHTR,2022-03-18,Buy
CL,2022-03-18,Sell
CLX,2022-03-18,Sell
CMA,2022-03-18,Buy
CMCSA,2022-03-18,Sell
CME,2022-03-18,Buy
CMG,2022-03-18,Buy
CMI,2022-03-18,Buy
CMS,2022-03-18,Buy
CNP,2022-03-18,Buy
COO,2022-03-18,Buy
COP,2022-03-18,Buy
COST,2022-03-18,Buy
CPB,2022-03-18,Sell
CRM,2022-03-18,Buy
CSCO,2022-03-18,Buy
CSX,2022-03-18,Buy
CTAS,2022-03-18,Buy
CTLT,2022-03-18,Buy
CTRA,2022-03-18,Sell
CTSH,2022-03-18,Buy
CTVA,2022-03-18,Buy
CTXS,2022-03-18,Sell
CVS,2022-03-18,Buy
CVX,2022-03-18,Buy
CZR,2022-03-18,Buy
D,2022-03-18,Buy
DAL,2022-03-18,Sell
DD,2022-03-18,Sell
DE,2022-03-18,Buy
DFS,2022-03-18,Buy
DG,2022-03-18,Buy
DHI,2022-03-18,Buy
DHR,2022-03-18,Buy
