stock,tradeNumber,buyDate,buyPrice,stopLoss,profitTarget,sellDate,sellPrice,daysTraded,returnsPerShare,isProfitable,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA50,EMA200,shortEMA,longEMA,MACD,signal,hist,histPast,EMA10Percent,EMA50Percent,EMA200Percent
A,1.0,2021-03-15,123.53514099121094,112.47000122070312,151.19799041748047,2021-07-23,152.12057495117188,91,28.585433959960938,True,120.91999816894531,124.27999877929688,120.33999633789062,124.04000091552734,123.53514099121094,1230000.0,120.6274038680561,120.88126091466607,109.15607243064238,120.70553986229733,121.44778131696731,-0.7422414546699798,-0.9073566099065054,0.16511515523652553,-0.14109021454460546,0.9764622673368567,0.9785172052644221,0.883603414824357
AAL,1.0,2021-05-07,22.0,20.940000534057617,24.649998664855957,2021-05-12,20.760000228881836,3,-1.239999771118164,False,21.399999618530273,22.190000534057617,21.270000457763672,22.0,22.0,32022900.0,21.66902474454718,21.514787121685274,18.07879952227334,21.69125388444548,21.887528376794535,-0.1962744923490547,-0.22951162218716203,0.03323712983810734,-0.005591515219471849,0.98495567020669,0.9779448691675124,0.8217636146487881
AAL,2.0,2021-05-14,22.399999618530273,19.639999389648438,29.300000190734863,2021-07-19,18.969999313354492,44,-3.4300003051757812,False,21.43000030517578,22.479999542236328,21.43000030517578,22.399999618530273,22.399999618530273,39182500.0,21.640110080834628,21.528828648757365,18.249991740188683,21.648113220831824,21.794866239584454,-0.14675301875263003,-0.19987446128300382,0.05312144253037379,-0.021894144284719752,0.9660763593465854,0.9611084381871043,0.8147317879903658
AAL,3.0,2021-07-21,21.399999618530273,18.626667022705078,26.431665420532227,2021-11-16,19.84000015258789,83,-1.5599994659423828,False,20.790000915527344,21.549999237060547,20.75,21.399999618530273,21.399999618530273,52282600.0,20.541406039653936,21.664419874785086,19.706795884750814,20.61360910731367,21.200176992663412,-0.5865678853497407,-0.6426189485602078,0.056051063210467156,-0.05693045386603701,0.9598788040102169,1.0123560869611348,0.9208783287868233
AAP,1.0,2021-02-09,158.19601440429688,147.07999420166016,187.9676055908203,2021-04-21,197.06317138671875,49,38.867156982421875,True,158.0,162.13999938964844,157.39999389648438,160.6699981689453,158.19601440429688,709300.0,155.10806537647048,155.858107884715,149.33733790694404,155.27121851422987,156.31237922583347,-1.0411607116035952,-1.0947910022478693,0.05363029064427405,-0.3140523933388286,0.9804802349828193,0.9852214575165784,0.9440018983366232
AAP,2.0,2021-06-09,194.2630615234375,191.0249542236328,220.01379394531253,2021-10-18,221.58950805664062,91,27.326446533203125,True,197.50999450683594,198.86000061035156,195.67999267578125,197.02999877929688,194.2630615234375,871300.0,191.51993392984667,189.33382531983415,169.71566773478702,191.5672525393447,192.03006710950015,-0.46281457015544447,-0.6394487765123937,0.17663420635694926,-0.09071477695570584,0.9858793145126055,0.9746259728177472,0.8736383870605844
AAPL,1.0,2021-03-15,123.4144515991211,119.66999816894531,136.47508239746094,2021-07-06,141.6008758544922,78,18.186424255371094,True,121.41000366210938,124.0,120.41999816894531,123.98999786376953,123.4144515991211,92403800.0,121.64665663319975,126.2306877902065,115.98801256550543,122.02510500795614,124.77893173206327,-2.753826724107128,-2.8843108424621664,0.13048411835503826,-0.19866173381246988,0.9856759484564778,1.0228193388585738,0.9398252073611406
AAPL,2.0,2021-10-14,143.5504913330078,138.27000427246094,156.751708984375,2021-11-18,157.8699951171875,25,14.319503784179688,True,142.11000061035156,143.8800048828125,141.50999450683594,143.75999450683594,143.5504913330078,69907100.0,142.36072021996526,144.51455168589112,134.83963731115986,142.54859215399827,144.04902374191892,-1.5004315879206445,-1.6350721801125012,0.13464059219185676,-0.05374533956567351,0.9917118283469853,1.0067158276083283,0.9393185356527931
ABBV,1.0,2021-02-23,102.59205627441406,99.75622825622558,112.97604084014893,2021-07-14,115.95423126220703,98,13.362174987792969,True,106.97000122070312,107.5999984741211,105.95999908447266,106.2699966430664,102.59205627441406,7058600.0,102.16093611828306,101.04049646519422,93.86907791400363,102.1700426949028,102.23771917617651,-0.06767648127370762,-0.09686603321634754,0.02918955194263992,-0.01189583394201564,0.9957977238025346,0.984876413773502,0.9149741346729795
ABC,1.0,2021-03-08,106.33081817626953,100.70999908447266,120.38286590576172,2021-05-03,122.4322509765625,39,16.10143280029297,True,105.58999633789062,109.16000366210938,105.56999969482422,107.51000213623047,106.33081817626953,1149900.0,103.53677888292682,102.99901049323383,99.49508388211605,103.54343951955002,103.62200411455966,-0.07856459500963808,-0.13255961783253473,0.05399502282289664,-0.2225972159381452,0.9737231468612336,0.9686656442583521,0.9357125769236387
ABC,2.0,2021-06-08,117.0379409790039,113.04150991439819,134.0439054965973,2021-12-27,131.89999389648438,140,14.862052917480469,True,118.88999938964844,118.94000244140625,116.5,117.9000015258789,117.0379409790039,656600.0,116.0562917792331,115.77564212318579,107.58984503971081,116.10578270262039,116.54022307131687,-0.4344403686964853,-0.5214122275716429,0.08697185887515757,-0.0209510667699061,0.9916125557955013,0.989214618394179,0.9192732214847488
ABMD,1.0,2021-03-17,304.6600036621094,289.7723292032877,339.82584508260095,2021-04-22,343.3999938964844,25,38.739990234375,True,305.760009765625,308.9100036621094,300.4800109863281,304.6600036621094,304.6600036621094,354200.0,305.44848400789306,312.9107415792439,291.7706564064295,306.25443373622596,311.8601910526433,-5.605757316417339,-5.768183730860229,0.16242641444288974,-0.08308559607693144,1.0025880664882358,1.0270817889383512,0.9576926833166617
ABMD,2.0,2021-10-13,336.04998779296875,331.7099914550781,346.8999786376953,2021-10-15,351.3699951171875,2,15.32000732421875,True,335.7200012207031,339.2300109863281,334.2699890136719,336.04998779296875,336.04998779296875,108500.0,334.85757687572436,339.2120664489422,319.7607106275856,335.4367413146305,339.5159079565044,-4.079166641873883,-4.272907584954683,0.19374094308080014,-0.1465967939297137,0.9964516858784146,1.009409548492296,0.9515272198866481
ABT,1.0,2021-03-22,120.1029052734375,114.95000076293945,128.42535591125488,2021-06-01,104.98343658447266,49,-15.119468688964844,False,120.26000213623047,122.22000122070312,120.01000213623047,121.47000122070312,120.1029052734375,5173100.0,117.59899057409606,116.57343607203673,107.13785397855322,117.59095184217833,117.78360314159062,-0.1926512994122902,-0.38438860786124474,0.19173730844895454,-0.031502999574528956,0.979151922314945,0.9706129573355011,0.8920504773355247
ABT,2.0,2021-10-15,117.48999786376953,111.61549797058105,132.17624759674075,2021-12-06,132.47000122070312,35,14.980003356933594,True,118.08000183105469,118.33000183105469,117.12999725341797,117.48999786376953,117.48999786376953,6012400.0,117.48840358745925,120.62562834311562,116.66568084739819,117.7611353790604,119.66030699216746,-1.8991716131070575,-1.9456003460984068,0.04642873299134931,-0.06629108397976835,0.9999864305358815,1.0266884886914533,0.9929839387917332
ACN,1.0,2021-02-08,255.03689575195312,241.72999572753906,288.3041458129883,2021-04-21,289.0435485839844,50,34.00665283203125,True,253.9199981689453,257.3500061035156,253.75999450683594,257.30999755859375,255.03689575195312,1508700.0,249.8927868702179,248.454400545004,230.20027016148268,249.94935883275937,250.51935499136502,-0.5699961586056475,-0.771835387286658,0.20183922868101056,-0.3113044158823639,0.9798299423831666,0.9741900277309241,0.9026155587518351
ACN,2.0,2021-06-11,283.6349182128906,277.3800048828125,299.27220153808594,2021-07-02,303.0821228027344,15,19.44720458984375,True,285.0,285.57000732421875,283.94000244140625,285.2799987792969,283.6349182128906,1473100.0,281.44895450723703,279.82186492903855,256.6609846911384,281.4826364268424,281.9434430692445,-0.46080664240207625,-0.636538820957734,0.1757321785556577,-0.03634072641340946,0.9922930374037626,0.9865564744006939,0.9048991087144421
ACN,3.0,2021-10-13,330.17999267578125,316.010009765625,365.6049499511719,2021-11-04,366.79998779296875,16,36.6199951171875,True,328.25,331.54998779296875,325.8599853515625,330.17999267578125,330.17999267578125,1768500.0,326.5354546018237,325.9802453711634,294.267878709959,326.79885765354516,328.40767868092917,-1.6088210273840104,-1.6164767991920626,0.007655771808052103,-0.46339698787647565,0.9889619657314115,0.9872804306809051,0.8912347363182421
